competition,year,player,team,pos,minutes,tackles_won,fouls_committed,fouls_drawn,cards,fpt,cpf
FIFA World Cup,2026,Abbosbek Fayzullayev,Uzbekistan,MF,220,6,6,4,0,1.0,0.0
FIFA World Cup,2026,Abdukodir Khusanov,Uzbekistan,DF,270,3,6,0,2,2.0,0.33
FIFA World Cup,2026,Eldor Shomurodov,Uzbekistan,FW,269,4,8,4,0,2.0,0.0
Copa América,2019,Germán Pezzella,Argentina,DF,456,6,4,2,1,0.67,0.25
Copa América,2019,Giovani Lo Celso,Argentina,MF,370,9,14,8,1,1.56,0.07
Copa América,2019,Juan Foyth,Argentina,DF,354,13,7,3,3,0.54,0.43
Copa América,2019,Leandro Paredes,Argentina,MF,540,8,12,16,2,1.5,0.17
Copa América,2019,Lionel Messi,Argentina,FW,486,5,5,18,1,1.0,0.2
Copa América,2019,Nicolás Otamendi,Argentina,DF,540,6,8,2,1,1.33,0.12
Copa América,2019,Nicolás Tagliafico,Argentina,DF,534,10,14,10,3,1.4,0.21
Copa América,2019,Rodrigo De Paul,Argentina,MF,467,5,2,13,0,0.4,0.0
Copa América,2019,Sergio Agüero,Argentina,FW,467,4,11,4,1,2.75,0.09
Copa América,2019,Adrian Jusino,Bolivia,DF,270,3,3,2,0,1.0,0.0
Copa América,2019,Diego Bejarano,Bolivia,DF,270,4,0,5,0,0.0,
Copa América,2019,Leonel Justiniano,Bolivia,MF,270,4,9,4,1,2.25,0.11
Copa América,2019,Luis Haquín,Bolivia,DF,270,4,1,1,1,0.25,1.0
Copa América,2019,Marvin Bejarano,Bolivia,DF,251,3,1,5,0,0.33,0.0
Copa América,2019,Raúl Castro,Bolivia,MF,210,6,2,4,1,0.33,0.5
Copa América,2019,Alex Sandro,Brazil,DF,289,8,4,7,0,0.5,0.0
Copa América,2019,Arthur Melo,Brazil,MF,480,6,9,19,1,1.5,0.11
Copa América,2019,Casemiro,Brazil,MF,395,9,17,7,2,1.89,0.12
Copa América,2019,Dani Alves,Brazil,DF,534,11,11,10,1,1.0,0.09
Copa América,2019,Filipe Luís,Brazil,DF,281,8,4,3,1,0.5,0.25
Copa América,2019,Marquinhos,Brazil,DF,543,3,5,2,0,1.67,0.0
Copa América,2019,Philippe Coutinho,Brazil,MF,542,11,8,12,1,0.73,0.12
Copa América,2019,Roberto Firmino,Brazil,FW,528,8,10,5,1,1.25,0.1
Copa América,2019,Thiago Silva,Brazil,DF,570,3,4,4,2,1.33,0.5
Copa América,2019,Alexis Sánchez,Chile,FW,492,5,10,18,0,2.0,0.0
Copa América,2019,Arturo Vidal,Chile,MF,466,11,16,12,3,1.45,0.19
Copa América,2019,Charles Aránguiz,Chile,MF,562,7,10,16,1,1.43,0.1
Copa América,2019,Erick Pulgar,Chile,MF,570,9,19,3,2,2.11,0.11
Copa América,2019,Gary Medel,Chile,DF,480,5,1,3,1,0.2,1.0
Copa América,2019,Guillermo Maripán,Chile,DF,519,8,8,5,0,1.0,0.0
Copa América,2019,Jean Beausejour,Chile,DF,480,5,8,9,2,1.6,0.25
Copa América,2019,Mauricio Isla,Chile,DF,480,12,11,8,1,0.92,0.09
Copa América,2019,Juan Cuadrado,Colombia,MF,303,7,14,14,2,2.0,0.14
Copa América,2019,William Tesillo,Colombia,DF,300,3,2,3,0,0.67,0.0
Copa América,2019,Yerry Mina,Colombia,DF,300,3,2,2,0,0.67,0.0
Copa América,2019,Robert Arboleda,Ecuador,DF,180,3,5,0,2,1.67,0.4
Copa América,2019,Romario Ibarra,Ecuador,MF,195,4,3,5,0,0.75,0.0
Copa América,2019,Daiki Sugioka,Japan,DF,270,4,8,5,0,2.0,0.0
Copa América,2019,Gaku Shibasaki,Japan,MF,270,3,5,4,0,1.67,0.0
Copa América,2019,Naomichi Ueda,Japan,DF,270,3,2,1,1,0.67,0.5
Copa América,2019,Celso Ortiz,Paraguay,MF,214,3,1,3,0,0.33,0.0
Copa América,2019,Iván Piris,Paraguay,DF,300,6,8,4,2,1.33,0.25
Copa América,2019,Juan Rodrigo Rojas,Paraguay,MF,277,6,6,2,1,1.0,0.17
Copa América,2019,Júnior Alonso,Paraguay,DF,390,4,6,2,1,1.5,0.17
Copa América,2019,Miguel Almirón,Paraguay,MF,386,3,5,9,0,1.67,0.0
Copa América,2019,Richard Sánchez,Paraguay,MF,269,6,3,3,0,0.5,0.0
Copa América,2019,Santiago Arzamendia,Paraguay,DF,330,5,4,4,2,0.8,0.5
Copa América,2019,André Carrillo,Peru,MF,232,6,10,2,1,1.67,0.1
Copa América,2019,Carlos Zambrano,Peru,DF,474,6,7,9,3,1.17,0.43
Copa América,2019,Christian Cueva,Peru,MF,442,5,11,10,1,2.2,0.09
Copa América,2019,Christofer Gonzáles,Peru,MF,220,4,10,4,0,2.5,0.0
Copa América,2019,Jefferson Farfán,Peru,MF,270,3,6,4,0,2.0,0.0
Copa América,2019,Luis Advíncula,Peru,DF,570,10,17,15,3,1.7,0.18
Copa América,2019,Miguel Trauco,Peru,DF,570,7,4,3,0,0.57,0.0
Copa América,2019,Renato Tapia,Peru,MF,561,13,12,7,2,0.92,0.17
Copa América,2019,Yoshimar Yotún,Peru,MF,488,6,8,12,1,1.33,0.12
Copa América,2019,Assim Madibo,Qatar,MF,180,4,3,1,2,0.75,0.67
Copa América,2019,Bassam Al Rawi,Qatar,DF,270,4,3,1,0,0.75,0.0
Copa América,2019,Boualem Khoukhi,Qatar,DF,270,3,1,8,1,0.33,1.0
Copa América,2019,Ró-Ró,Qatar,DF,264,5,7,5,1,1.4,0.14
Copa América,2019,Diego Godín,Uruguay,DF,390,3,5,4,1,1.67,0.2
Copa América,2019,Edinson Cavani,Uruguay,FW,390,4,4,8,0,1.0,0.0
Copa América,2019,Giorgian De Arrascaeta,Uruguay,MF,226,4,2,13,0,0.5,0.0
Copa América,2019,Giovanni González,Uruguay,DF,273,4,1,2,1,0.25,1.0
Copa América,2019,José María Giménez,Uruguay,DF,390,7,4,5,1,0.57,0.25
Copa América,2019,Martín Cáceres,Uruguay,DF,390,5,5,2,0,1.0,0.0
Copa América,2019,Nicolás Lodeiro,Uruguay,MF,191,3,6,3,1,2.0,0.17
Copa América,2019,Rodrigo Bentancur,Uruguay,MF,390,7,12,4,0,1.71,0.0
Copa América,2019,Darwin Machís,Venezuela,MF,239,3,5,2,0,1.67,0.0
Copa América,2019,Junior Moreno,Venezuela,MF,347,4,2,3,0,0.5,0.0
Copa América,2019,Luis Mago,Venezuela,DF,219,5,4,0,3,0.8,0.75
Copa América,2019,Roberto Rosales,Venezuela,DF,352,5,4,3,0,0.8,0.0
Copa América,2019,Ronald Hernández,Venezuela,DF,283,5,4,2,0,0.8,0.0
Copa América,2019,Yangel Herrera,Venezuela,MF,245,5,6,7,2,1.2,0.33
Copa América,2021,Cristian Romero,Argentina,DF,258,3,3,3,0,1.0,0.0
Copa América,2021,Giovani Lo Celso,Argentina,MF,331,4,7,8,3,1.75,0.43
Copa América,2021,Gonzalo Montiel,Argentina,DF,339,7,6,2,2,0.86,0.33
Copa América,2021,Guido Rodríguez,Argentina,MF,427,8,9,6,1,1.12,0.11
Copa América,2021,Leandro Paredes,Argentina,MF,355,6,7,8,2,1.17,0.29
Copa América,2021,Lionel Messi,Argentina,FW,660,5,3,23,0,0.6,0.0
Copa América,2021,Marcos Acuña,Argentina,DF,360,4,9,9,1,2.25,0.11
Copa América,2021,Nahuel Molina,Argentina,DF,321,5,3,3,0,0.6,0.0
Copa América,2021,Nicolás González,Argentina,FW,308,4,6,7,1,1.5,0.17
Copa América,2021,Nicolás Otamendi,Argentina,DF,480,4,9,7,2,2.25,0.22
Copa América,2021,Rodrigo De Paul,Argentina,MF,498,6,10,16,1,1.67,0.1
Copa América,2021,Ángel Di María,Argentina,MF,277,3,2,7,0,0.67,0.0
Copa América,2021,Leonel Justiniano,Bolivia,MF,343,4,4,2,0,1.0,0.0
Copa América,2021,Roberto Fernández Toro,Bolivia,DF,288,3,2,2,0,0.67,0.0
Copa América,2021,Alex Sandro,Brazil,DF,182,4,4,0,1,1.0,0.25
Copa América,2021,Casemiro,Brazil,MF,478,9,10,1,0,1.11,0.0
Copa América,2021,Danilo,Brazil,DF,575,4,3,3,0,0.75,0.0
Copa América,2021,Everton Soares,Brazil,FW,268,3,3,2,0,1.0,0.0
Copa América,2021,Fabinho,Brazil,MF,192,5,1,3,0,0.2,0.0
Copa América,2021,Fred,Brazil,MF,460,9,5,4,1,0.56,0.2
Copa América,2021,Lucas Paquetá,Brazil,MF,354,11,9,11,1,0.82,0.11
Copa América,2021,Renan Lodi,Brazil,DF,384,4,9,6,2,2.25,0.22
Copa América,2021,Richarlison,Brazil,FW,461,5,6,18,0,1.2,0.0
Copa América,2021,Charles Aránguiz,Chile,MF,447,3,8,10,0,2.67,0.0
Copa América,2021,Erick Pulgar,Chile,MF,345,3,2,3,1,0.67,0.5
Copa América,2021,Eugenio Mena,Chile,DF,450,6,5,5,0,0.83,0.0
Copa América,2021,Francisco Sierralta,Chile,DF,270,3,5,5,2,1.67,0.4
Copa América,2021,Gary Medel,Chile,DF,420,3,3,3,1,1.0,0.33
Copa América,2021,Mauricio Isla,Chile,DF,450,5,2,4,1,0.4,0.5
Copa América,2021,Daniel Muñoz,Colombia,DF,480,6,16,5,2,2.67,0.12
Copa América,2021,Davinson Sánchez,Colombia,DF,525,4,5,3,0,1.25,0.0
Copa América,2021,Gustavo Cuellar,Colombia,MF,284,9,4,0,1,0.44,0.25
Copa América,2021,Juan Cuadrado,Colombia,MF,570,9,15,23,3,1.67,0.2
Copa América,2021,Mateus Uribe,Colombia,MF,240,4,3,3,2,0.75,0.67
Copa América,2021,Rafael Borré,Colombia,FW,292,5,10,3,1,2.0,0.1
Copa América,2021,William Tesillo,Colombia,DF,541,13,10,3,0,0.77,0.0
Copa América,2021,Wílmar Barrios,Colombia,MF,659,18,14,13,3,0.78,0.21
Copa América,2021,Yerry Mina,Colombia,DF,624,3,10,4,0,3.33,0.0
Copa América,2021,Ayrton Preciado,Ecuador,MF,281,3,5,0,0,1.67,0.0
Copa América,2021,Jhegson Méndez,Ecuador,MF,416,7,6,1,0,0.86,0.0
Copa América,2021,Moisés Caicedo,Ecuador,MF,296,3,6,2,1,2.0,0.17
Copa América,2021,Pervis Estupiñán,Ecuador,DF,450,6,19,8,2,3.17,0.11
Copa América,2021,Piero Hincapié,Ecuador,DF,449,7,8,5,2,1.14,0.25
Copa América,2021,Robert Arboleda,Ecuador,DF,450,3,2,1,0,0.67,0.0
Copa América,2021,Ángelo Preciado,Ecuador,DF,442,6,7,7,2,1.17,0.29
Copa América,2021,Alberto Espínola,Paraguay,DF,446,14,8,7,2,0.57,0.25
Copa América,2021,Héctor David Martínez,Paraguay,DF,261,3,1,2,1,0.33,1.0
Copa América,2021,Júnior Alonso,Paraguay,DF,480,5,9,1,1,1.8,0.11
Copa América,2021,Mathías Villasanti,Paraguay,MF,303,4,7,4,1,1.75,0.14
Copa América,2021,Ángel Romero,Paraguay,MF,415,5,6,5,0,1.2,0.0
Copa América,2021,Aldo Corzo,Peru,DF,600,9,7,4,0,0.78,0.0
Copa América,2021,Alexander Callens,Peru,DF,386,4,6,1,0,1.5,0.0
Copa América,2021,Anderson Santamaría,Peru,DF,300,5,1,1,1,0.2,1.0
Copa América,2021,Christian Cueva,Peru,FW,597,8,5,27,2,0.62,0.4
Copa América,2021,Miguel Trauco,Peru,DF,345,6,3,2,0,0.5,0.0
Copa América,2021,Renato Tapia,Peru,MF,573,7,7,13,0,1.0,0.0
Copa América,2021,Sergio Peña,Peru,MF,541,7,8,7,0,1.14,0.0
Copa América,2021,Yoshimar Yotún,Peru,MF,642,12,9,14,2,0.75,0.22
Copa América,2021,Federico Valverde,Uruguay,MF,417,7,1,4,1,0.14,1.0
Copa América,2021,Giorgian de Arrascaeta,Uruguay,MF,264,3,3,5,0,1.0,0.0
Copa América,2021,José María Giménez,Uruguay,DF,450,4,9,6,0,2.25,0.0
Copa América,2021,Luis Suárez,Uruguay,FW,380,3,3,8,0,1.0,0.0
Copa América,2021,Matías Vecino,Uruguay,MF,343,7,8,5,0,1.14,0.0
Copa América,2021,Rodrigo Bentancur,Uruguay,MF,255,7,6,3,0,0.86,0.0
Copa América,2021,Adrián Martínez,Venezuela,DF,270,4,1,4,0,0.25,0.0
Copa América,2021,Alexander González,Venezuela,DF,289,7,4,2,0,0.57,0.0
Copa América,2021,José Andrés Martínez,Venezuela,MF,288,5,6,7,1,1.2,0.17
Copa América,2021,Junior Moreno,Venezuela,MF,351,4,4,3,0,1.0,0.0
Copa América,2021,Luis Mago,Venezuela,DF,360,7,3,3,1,0.43,0.33
Copa América,2024,Alexis Mac Allister,Argentina,MF,443,7,7,8,1,1.0,0.14
Copa América,2024,Cristian Romero,Argentina,DF,480,15,3,3,0,0.2,0.0
Copa América,2024,Julián Álvarez,Argentina,FW,346,3,5,2,0,1.67,0.0
Copa América,2024,Lisandro Martínez,Argentina,DF,467,4,4,2,0,1.0,0.0
Copa América,2024,Nahuel Molina,Argentina,DF,328,8,1,1,1,0.12,1.0
Copa América,2024,Nicolás Tagliafico,Argentina,DF,447,4,4,8,1,1.0,0.25
Copa América,2024,Rodrigo De Paul,Argentina,MF,480,8,7,11,1,0.88,0.14
Copa América,2024,Ángel Di María,Argentina,MF,354,4,0,6,0,0.0,
Copa América,2024,Héctor Cuellar,Bolivia,DF,225,5,3,1,0,0.6,0.0
Copa América,2024,José Sagredo,Bolivia,DF,270,7,0,4,0,0.0,
Copa América,2024,Bruno Guimarães,Brazil,MF,332,8,13,10,1,1.62,0.08
Copa América,2024,João Gomes,Brazil,MF,324,6,10,6,2,1.67,0.2
Copa América,2024,Lucas Paquetá,Brazil,MF,293,12,4,4,2,0.33,0.5
Copa América,2024,Marquinhos,Brazil,DF,360,7,1,3,0,0.14,0.0
Copa América,2024,Raphinha,Brazil,FW,259,5,4,6,0,0.8,0.0
Copa América,2024,Rodrygo,Brazil,FW,326,4,1,7,0,0.25,0.0
Copa América,2024,Alistair Johnston,Canada,DF,511,17,8,5,1,0.47,0.12
Copa América,2024,Alphonso Davies,Canada,DF,459,12,3,4,1,0.25,0.33
Copa América,2024,Derek Cornelius,Canada,DF,429,6,9,2,2,1.5,0.22
Copa América,2024,Ismaël Koné,Canada,MF,319,5,4,8,3,0.8,0.75
Copa América,2024,Jacob Shaffelburg,Canada,FW,346,7,3,4,1,0.43,0.33
Copa América,2024,Jonathan David,Canada,MF,446,3,6,12,1,2.0,0.17
Copa América,2024,Jonathan Osorio,Canada,MF,317,5,4,2,0,0.8,0.0
Copa América,2024,Moïse Bombito,Canada,DF,540,7,4,1,1,0.57,0.25
Copa América,2024,Richie Laryea,Canada,DF,366,8,4,12,1,0.5,0.25
Copa América,2024,Stephen Eustáquio,Canada,MF,431,5,12,2,1,2.4,0.08
Copa América,2024,Erick Pulgar,Chile,MF,210,7,1,3,1,0.14,1.0
Copa América,2024,Gabriel Suazo,Chile,DF,206,4,6,3,4,1.5,0.67
Copa América,2024,Mauricio Isla,Chile,DF,266,6,2,3,1,0.33,0.5
Copa América,2024,Carlos Cuesta,Colombia,DF,480,7,3,2,1,0.43,0.33
Copa América,2024,Daniel Muñoz,Colombia,DF,386,12,13,8,3,1.08,0.23
Copa América,2024,Davinson Sánchez,Colombia,DF,570,10,8,2,0,0.8,0.0
Copa América,2024,James Rodríguez,Colombia,FW,463,4,5,11,1,1.25,0.2
Copa América,2024,Jefferson Lerma,Colombia,MF,422,6,5,4,2,0.83,0.4
Copa América,2024,Jhon Arias,Colombia,MF,483,8,15,11,0,1.88,0.0
Copa América,2024,Johan Mojica,Colombia,DF,525,10,2,8,0,0.2,0.0
Copa América,2024,Luis Díaz,Colombia,FW,507,5,14,11,0,2.8,0.0
Copa América,2024,Francisco Calvo,Costa Rica,DF,270,3,1,4,1,0.33,1.0
Copa América,2024,Jeyland Mitchell,Costa Rica,DF,270,6,3,2,0,0.5,0.0
Copa América,2024,Juan Pablo Vargas,Costa Rica,DF,270,4,1,0,0,0.25,0.0
Copa América,2024,Orlando Galo,Costa Rica,MF,270,3,3,5,1,1.0,0.33
Copa América,2024,Félix Torres Caicedo,Ecuador,DF,360,3,1,0,0,0.33,0.0
Copa América,2024,Jeremy Sarmiento,Ecuador,FW,301,8,3,10,1,0.38,0.33
Copa América,2024,Kendry Páez,Ecuador,MF,306,9,2,2,1,0.22,0.5
Copa América,2024,Moisés Caicedo,Ecuador,MF,360,4,11,10,2,2.75,0.18
Copa América,2024,Piero Hincapié,Ecuador,DF,360,6,8,8,0,1.33,0.0
Copa América,2024,Willian Pacho,Ecuador,DF,360,4,3,1,0,0.75,0.0
Copa América,2024,Ángelo Preciado,Ecuador,DF,359,9,6,6,0,0.67,0.0
Copa América,2024,Ethan Pinnock,Jamaica,DF,270,3,0,1,0,0.0,
Copa América,2024,Kasey Palmer,Jamaica,MF,270,8,3,4,0,0.38,0.0
Copa América,2024,Gerardo Arteaga,Mexico,DF,269,3,3,0,0,1.0,0.0
Copa América,2024,Johan Vásquez,Mexico,DF,270,5,5,0,1,1.0,0.2
Copa América,2024,Jorge Eduardo Sánchez,Mexico,DF,270,5,5,0,1,1.0,0.2
Copa América,2024,Julián Quiñones,Mexico,FW,252,5,3,5,0,0.6,0.0
Copa América,2024,Edgardo Fariña,Panama,DF,360,4,8,3,2,2.0,0.25
Copa América,2024,Erick Davis,Panama,DF,352,5,6,2,0,1.2,0.0
Copa América,2024,José Cordoba,Panama,DF,360,4,2,2,1,0.5,0.5
Copa América,2024,Damián Bobadilla,Paraguay,MF,197,5,2,3,0,0.4,0.0
Copa América,2024,Fabián Balbuena,Paraguay,DF,270,4,0,0,1,0.0,
Copa América,2024,Gustavo Velásquez,Paraguay,DF,253,4,1,4,1,0.25,1.0
Copa América,2024,Julio Enciso,Paraguay,FW,251,4,3,8,0,0.75,0.0
Copa América,2024,Mathías Villasanti,Paraguay,MF,242,3,6,5,0,2.0,0.0
Copa América,2024,Miguel Almirón,Paraguay,FW,180,3,4,2,1,1.33,0.25
Copa América,2024,Omar Alderete,Paraguay,DF,270,3,6,2,1,2.0,0.17
Copa América,2024,Alexander Callens,Peru,DF,263,4,2,2,0,0.5,0.0
Copa América,2024,Carlos Zambrano,Peru,DF,258,3,3,3,2,1.0,0.67
Copa América,2024,Edison Flores,Peru,FW,186,3,7,5,1,2.33,0.14
Copa América,2024,Marcos López,Peru,DF,222,3,4,8,0,1.33,0.0
Copa América,2024,Sergio Peña,Peru,MF,258,6,4,4,1,0.67,0.25
Copa América,2024,Wilder Cartagena,Peru,MF,225,6,10,1,1,1.67,0.1
Copa América,2024,Antonee Robinson,United States,DF,270,5,2,5,1,0.4,0.5
Copa América,2024,Christian Pulisic,United States,FW,270,3,2,5,0,0.67,0.0
Copa América,2024,Joe Scally,United States,DF,258,3,1,11,0,0.33,0.0
Copa América,2024,Darwin Núñez,Uruguay,FW,472,3,6,6,1,2.0,0.17
Copa América,2024,Facundo Pellistri,Uruguay,FW,447,8,11,6,0,1.38,0.0
Copa América,2024,Federico Valverde,Uruguay,MF,529,7,3,4,0,0.43,0.0
Copa América,2024,Manuel Ugarte Ribeiro,Uruguay,MF,493,19,9,7,1,0.47,0.11
Copa América,2024,Mathías Olivera,Uruguay,DF,374,9,2,3,0,0.22,0.0
Copa América,2024,Matías Viña,Uruguay,DF,353,5,1,3,1,0.2,1.0
Copa América,2024,Maximiliano Araújo,Uruguay,FW,446,3,10,11,0,3.33,0.0
Copa América,2024,Nahitan Nández,Uruguay,DF,433,10,13,6,1,1.3,0.08
Copa América,2024,Nicolás De La Cruz,Uruguay,MF,352,3,10,15,2,3.33,0.2
Copa América,2024,Ronald Araújo,Uruguay,DF,257,4,1,1,0,0.25,0.0
Copa América,2024,Sebastián Cáceres,Uruguay,DF,258,4,2,5,0,0.5,0.0
Copa América,2024,Alexander González,Venezuela,DF,180,3,1,0,0,0.33,0.0
Copa América,2024,Eduard Bello,Venezuela,FW,288,3,1,1,0,0.33,0.0
Copa América,2024,Jon Aramburu,Venezuela,DF,260,18,6,3,1,0.33,0.17
Copa América,2024,José Andrés Martínez,Venezuela,MF,359,11,6,6,0,0.55,0.0
Copa América,2024,Miguel Navarro,Venezuela,DF,270,4,4,2,1,1.0,0.25
Copa América,2024,Nahuel Ferraresi,Venezuela,DF,270,6,1,4,1,0.17,1.0
Copa América,2024,Yangel Herrera,Venezuela,MF,326,4,4,8,0,1.0,0.0
Copa América,2024,Yordan Osorio,Venezuela,DF,359,4,2,2,0,0.5,0.0
